"_id",dt,user,username
5ba16fdc656a0db5681754d6,2018-09-18T21:36:28.303Z,aaa,
5ba1c1407d07d53d410cf168,2018-09-18T20:23:44.691Z,,aaa
5ba1cfbd7d07d542993f5b28,2018-09-18T21:25:33.657Z,,aaa
5ba1ef5c7d07d54472208221,2018-09-18T23:40:28.136Z,,aaa
5ba201987d07d55d677c6a25,2018-09-19T00:58:16.121Z,,bbb
5ba201d07d07d55d677c6a26,2018-09-19T00:59:12.825Z,,bbb
5ba204b57d07d55d677c6a2c,2018-09-19T01:11:33.713Z,,aaa
5ba275ba7d07d55d677c6a2d,2018-09-19T09:13:46.721Z,,aaa
5ba276b17d07d55d677c6a2e,2018-09-19T09:17:53.884Z,,aaa
5ba277007d07d55d677c6a2f,2018-09-19T09:19:12.553Z,,aaa
5ba277677d07d55d677c6a30,2018-09-19T09:20:55.321Z,,aaa
5ba2813b7d07d55d677c6a31,2018-09-19T10:02:51.759Z,,aaa
5ba281e27d07d55d677c6a32,2018-09-19T10:05:38.509Z,,aaa
5ba2825e7d07d55d677c6a33,2018-09-19T10:07:42.651Z,,aaa
5ba282677d07d55d677c6a34,2018-09-19T10:07:51.482Z,,aaa
5ba282a97d07d55d677c6a35,2018-09-19T10:08:57.178Z,,aaa
5ba283217d07d55d677c6a36,2018-09-19T10:10:57.537Z,,aaa
5ba283387d07d55d677c6a37,2018-09-19T10:11:20.861Z,,aaa
5ba2b3827d07d505ea688562,2018-09-19T13:37:22.981Z,,aaa
5ba301877d07d532afb3dd33,2018-09-19T19:10:15.297Z,,bbb
5ba3018d7d07d532afb3dd34,2018-09-19T19:10:21.017Z,,bbb
5ba301927d07d532afb3dd35,2018-09-19T19:10:26.812Z,,bbb
5ba301a87d07d532afb3dd36,2018-09-19T19:10:48.395Z,,ccc
5ba301d87d07d532afb3dd3f,2018-09-19T19:11:36.829Z,,ccc
5ba302ac7d07d532afb3dd40,2018-09-19T19:15:08.221Z,,ccc
5ba30a3b7d07d532afb3dd4d,2018-09-19T19:47:23.222Z,,aaa
5ba30a587d07d532afb3dd4e,2018-09-19T19:47:52.025Z,,ccc
